./Dat/p-C101-P2C10-I2-V1.txt
 Gerador dos numeros aleatorios das demandas ( 1 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 420 - 1080 ]
   NoPlanta = 2 Horario [ 420 - 1080 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 1 ) Horario [ 960 - 970 ]
  NoCliente = 2 	Demanda em carretas ( 3 ) Horario [ 900 - 950 ]
  NoCliente = 3 	Demanda em carretas ( 1 ) Horario [ 810 - 820 ]
  NoCliente = 4 	Demanda em carretas ( 3 ) Horario [ 810 - 860 ]
  NoCliente = 5 	Demanda em carretas ( 2 ) Horario [ 630 - 660 ]
  NoCliente = 6 	Demanda em carretas ( 3 ) Horario [ 570 - 620 ]
  NoCliente = 7 	Demanda em carretas ( 1 ) Horario [ 570 - 580 ]
  NoCliente = 8 	Demanda em carretas ( 2 ) Horario [ 660 - 690 ]
  NoCliente = 9 	Demanda em carretas ( 4 ) Horario [ 510 - 580 ]
  NoCliente = 10 	Demanda em carretas ( 1 ) Horario [ 840 - 850 ]


Tempo das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		61		127
2		80		165
3		76		157
4		20		45
5		37		79
6		38		81
7		70		145
8		30		65
9		72		149
10		24		53
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		46		97
2		66		137
3		66		137
4		10		25
5		51		107
6		45		95
7		50		105
8		42		89
9		56		117
10		6		17
