./Dat/p-C101-P2C10-I2-V2.txt
 Gerador dos numeros aleatorios das demandas ( 2 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 7 - 18 ]
   NoPlanta = 2 Horario [ 7 - 18 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 4 ) Horario [ 15 - 16.1667 ]
  NoCliente = 2 	Demanda em carretas ( 5 ) Horario [ 9 - 10.5 ]
  NoCliente = 3 	Demanda em carretas ( 2 ) Horario [ 10.5 - 11 ]
  NoCliente = 4 	Demanda em carretas ( 5 ) Horario [ 10 - 11.5 ]
  NoCliente = 5 	Demanda em carretas ( 3 ) Horario [ 14 - 14.8333 ]
  NoCliente = 6 	Demanda em carretas ( 3 ) Horario [ 15 - 15.8333 ]
  NoCliente = 7 	Demanda em carretas ( 1 ) Horario [ 14 - 14.1667 ]
  NoCliente = 8 	Demanda em carretas ( 5 ) Horario [ 9.5 - 11 ]
  NoCliente = 9 	Demanda em carretas ( 4 ) Horario [ 15.5 - 16.6667 ]
  NoCliente = 10 	Demanda em carretas ( 4 ) Horario [ 14.5 - 15.6667 ]


Distancia das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		36.2215		77.4431
2		20.3961		45.7922
3		72.111		149.222
4		32.249		69.4981
5		41.2311		87.4621
6		70.7107		146.421
7		30.2655		65.531
8		38		81
9		20		45
10		61.6117		128.223
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		14.1421		33.2843
2		35.4401		75.8802
3		37.2022		79.4043
4		15.2315		35.4631
5		20.0998		45.1995
6		41.7612		88.5225
7		39.4462		83.8923
8		10		25
9		39.2938		83.5875
10		28.6356		62.2713
