./Dat/p-R101-P2C10-I4-V3.txt
 Gerador dos numeros aleatorios das demandas ( 3 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 7 - 18 ]
   NoPlanta = 2 Horario [ 7 - 18 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 5 ) Horario [ 10 - 13.1667 ]
  NoCliente = 2 	Demanda em carretas ( 5 ) Horario [ 10.5 - 13.6667 ]
  NoCliente = 3 	Demanda em carretas ( 4 ) Horario [ 10 - 12.5 ]
  NoCliente = 4 	Demanda em carretas ( 4 ) Horario [ 13.5 - 16 ]
  NoCliente = 5 	Demanda em carretas ( 2 ) Horario [ 14 - 15.1667 ]
  NoCliente = 6 	Demanda em carretas ( 5 ) Horario [ 13.5 - 16.6667 ]
  NoCliente = 7 	Demanda em carretas ( 5 ) Horario [ 8.5 - 11.6667 ]
  NoCliente = 8 	Demanda em carretas ( 5 ) Horario [ 8.5 - 11.6667 ]
  NoCliente = 9 	Demanda em carretas ( 5 ) Horario [ 8 - 11.1667 ]
  NoCliente = 10 	Demanda em carretas ( 1 ) Horario [ 9.5 - 10 ]


Distancia das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		22.3607		49.7214
2		52.4976		109.995
3		64.0312		133.062
4		63.2456		131.491
5		58.3095		121.619
6		22.3607		49.7214
7		60		125
8		50		105
9		53.8516		112.703
10		31.6228		68.2456
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		82.4621		169.924
2		48.3322		101.664
3		70.7107		146.421
4		50		105
5		92.1954		189.391
6		70.7107		146.421
7		108.167		221.333
8		114.018		233.035
9		120.83		246.661
10		50		105
