./Dat/p-RC101-P2C10-I2-V1.txt
 Gerador dos numeros aleatorios das demandas ( 1 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 7 - 18 ]
   NoPlanta = 2 Horario [ 7 - 18 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 3 ) Horario [ 8 - 8.83333 ]
  NoCliente = 2 	Demanda em carretas ( 2 ) Horario [ 10 - 10.5 ]
  NoCliente = 3 	Demanda em carretas ( 4 ) Horario [ 9.5 - 10.6667 ]
  NoCliente = 4 	Demanda em carretas ( 5 ) Horario [ 14.5 - 16 ]
  NoCliente = 5 	Demanda em carretas ( 1 ) Horario [ 9 - 9.16667 ]
  NoCliente = 6 	Demanda em carretas ( 4 ) Horario [ 9.5 - 10.6667 ]
  NoCliente = 7 	Demanda em carretas ( 2 ) Horario [ 13.5 - 14 ]
  NoCliente = 8 	Demanda em carretas ( 2 ) Horario [ 15.5 - 16 ]
  NoCliente = 9 	Demanda em carretas ( 5 ) Horario [ 8 - 9.5 ]
  NoCliente = 10 	Demanda em carretas ( 4 ) Horario [ 13.5 - 14.6667 ]


Distancia das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		90.3549		185.71
2		70.1142		145.228
3		67.082		139.164
4		70.7107		146.421
5		90		185
6		70.1142		145.228
7		80.6226		166.245
8		66.6033		138.207
9		64.7765		134.553
10		78.7147		162.429
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		21.5407		48.0813
2		4		13
3		72.111		149.222
4		92.1954		189.391
5		20		45
6		4		13
7		100		205
8		127.812		260.625
9		87.7268		180.454
10		144.554		294.109
