./Dat/p-RC101-P2C10-I3-V2.txt
 Gerador dos numeros aleatorios das demandas ( 2 ) 
Dados das plantas 
   NoPlanta = 1 Horario [ 7 - 18 ]
   NoPlanta = 2 Horario [ 7 - 18 ]
Dados dos Clientes 
  NoCliente = 1 	Demanda em carretas ( 2 ) Horario [ 15.5 - 16.3333 ]
  NoCliente = 2 	Demanda em carretas ( 3 ) Horario [ 13.5 - 14.8333 ]
  NoCliente = 3 	Demanda em carretas ( 5 ) Horario [ 8.5 - 10.8333 ]
  NoCliente = 4 	Demanda em carretas ( 2 ) Horario [ 8.5 - 9.33333 ]
  NoCliente = 5 	Demanda em carretas ( 1 ) Horario [ 10.5 - 10.8333 ]
  NoCliente = 6 	Demanda em carretas ( 2 ) Horario [ 10.5 - 11.3333 ]
  NoCliente = 7 	Demanda em carretas ( 1 ) Horario [ 11 - 11.3333 ]
  NoCliente = 8 	Demanda em carretas ( 3 ) Horario [ 8 - 9.33333 ]
  NoCliente = 9 	Demanda em carretas ( 4 ) Horario [ 9.5 - 11.3333 ]
  NoCliente = 10 	Demanda em carretas ( 4 ) Horario [ 8.5 - 10.3333 ]


Distancia das plantas para construcoes  em minutos

   Planta = 1
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		70.1142		145.228
2		90.5539		186.108
3		90.3549		185.71
4		66.6033		138.207
5		78.1025		161.205
6		67.0522		139.104
7		78.7147		162.429
8		82.4621		169.924
9		76.1577		157.315
10		70.7107		146.421
   Planta = 2
Construcao   Tempo de Ida    Tempo de Ida e Volta
1		89.1964		183.393
2		100		205
3		111.732		228.464
4		65.3911		135.782
5		72.8011		150.602
6		11.6619		28.3238
7		86.9253		178.851
8		14.1421		33.2843
9		89.4427		183.885
10		63.2456		131.491
