 
 p-C101-P1C5-I2-V1.txt 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	%.3 	 % 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4040.000 	 4100.000 	  1.463 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
 p-C101-P1C5-I2-V1.txt 	4100.000 	 0 	Feasible 	4100.000 	 4050.000 	 4100.000 	  1.220 	 20 
